full,abb
ALLEE,ALY
ALLEY,ALY
ALLY,ALY
ANEX,ANX
ANNEX,ANX
ANNX,ANX
APARTMENT,APT
ARCADE,ARC
AV,AVE
AVEN,AVE
AVENU,AVE
AVENUE,AVE
AVN,AVE
AVNUE,AVE
BASEMENT,BSMT
BAYOO,BYU
BAYOU,BYU
BEACH,BCH
BEND,BND
BL,BLVD
BLUF,BLF
BLUFF,BLF
BLUFFS,BLFS
BOT,BTM
BOTTM,BTM
BOTTOM,BTM
BOUL,BLVD
BOULEVARD,BLVD
BOULV,BLVD
BRANCH,BR
BRDG,BRG
BRDGE,BRG
BRIDGE,BRG
BRNCH,BR
BROOK,BRK
BROOKS,BRKS
BUILDING,BLDG
BURG,BG
BURGS,BGS
BYPA,BYP
BYPAS,BYP
BYPASS,BYP
BYPS,BYP
CAMP,CP
CANYN,CYN
CANYON,CYN
CAPE,CPE
CAUSEWAY,CSWY
CAUSWA,CSWY
CEN,CTR
CENT,CTR
CENTER,CTR
CENTERS,CTRS
CENTR,CTR
CENTRE,CTR
CIRC,CIR
CIRCL,CIR
CIRCLE,CIR
CIRCLES,CIRS
CLIFF,CLF
CLIFFS,CLFS
CLUB,CLB
CMP,CP
CNTER,CTR
CNTR,CTR
CNYN,CYN
COMMON,CMN
COMMONS,CMNS
CORNER,COR
CORNERS,CORS
COURSE,CRSE
COURT,CT
COURTS,CTS
COVE,CV
COVES,CVS
CRCL,CIR
CRCLE,CIR
CREEK,CRK
CRESCENT,CRES
CREST,CRST
CROSSING,XING
CROSSROAD,XRD
CROSSROADS,XRDS
CRSENT,CRES
CRSNT,CRES
CRSSNG,XING
CURVE,CURV
DALE,DL
DAM,DM
DEPARTMENT,DEPT
DIV,DV
DIVIDE,DV
DRIV,DR
DRIVE,DR
DRIVES,DRS
DRIVEWAY,DRWY
DRV,DR
DVD,DV
E/B,EB
EAST,E
EASTBOUND,EB
END,EN
ESPLANADE,ESPL
ESTATE,EST
ESTATES,ESTS
ET,EX
EXIT,EX
EXP,EXPY
EXPR,EXPY
EXPRE,EXPY
EXPRESS,EXPY
EXPRESSWAY,EXPY
EXPW,EXPY
EXTENSION,EXT
EXTENSIONS,EXTS
EXTN,EXT
EXTNSN,EXT
FALL,FLS
FALLS,FLS
FERRY,FRY
FIELD,FLD
FIELDS,FLDS
FLAT,FLT
FLATS,FLTS
FLOOR,FL
FORD,FRD
FORDS,FRDS
FOREST,FRST
FORESTS,FRST
FORG,FRG
FORGE,FRG
FORGES,FRGS
FORK,FRK
FORKS,FRKS
FORT,FT
FREEWAY,FWY
FREEWY,FWY
FRONT,FRNT
FRRY,FRY
FRT,FT
FRWAY,FWY
FRWY,FWY
FRWY,FWY
GARDEN,GDN
GARDENS,GDNS
GARDN,GDN
GATEWAY,GTWY
GATEWY,GTWY
GATWAY,GTWY
GLEN,GLN
GLENS,GLNS
GRDEN,GDN
GRDN,GDN
GRDNS,GDNS
GREEN,GRN
GREENS,GRNS
GROV,GRV
GROVE,GRV
GROVES,GRVS
GTWAY,GTWY
HANGER,HNGR
HARB,HBR
HARBOR,HBR
HARBORS,HBRS
HARBR,HBR
HAVEN,HVN
HEIGHTS,HTS
HGTS,HTS
HIGHWAY,HWY
HIGHWY,HWY
HILL,HL
HILLS,HLS
HIWAY,HWY
HIWY,HWY
HLLW,HOLW
HOLLOW,HOLW
HOLLOWS,HOLW
HOLWS,HOLW
HRBOR,HBR
HT,HTS
HWAY,HWY
INLET,INLT
ISLAND,IS
ISLANDS,ISS
ISLES,ISLE
ISLND,IS
ISLNDS,ISS
JCTION,JCT
JCTN,JCT
JCTNS,JCTS
JUNCTION,JCT
JUNCTIONS,JCTS
JUNCTN,JCT
JUNCTON,JCT
KEY,KY
KEYS,KYS
KNOL,KNL
KNOLL,KNL
KNOLLS,KNLS
LAKE,LK
LAKES,LKS
LANDING,LNDG
LANE,LN
LDGE,LDG
LIGHT,LGT
LIGHTS,LGTS
LNDNG,LNDG
LOAF,LF
LOBBY,LBBY
LOCK,LCK
LOCKS,LCKS
LODG,LDG
LODGE,LDG
LOOPS,LOOP
LOWER,LOWR
MANOR,MNR
MANORS,MNRS
MDW,MDWS
MEADOW,MDW
MEADOWS,MDWS
MEDOWS,MDWS
MILL,ML
MILLS,MLS
MISSION,MSN
MISSN,MSN
MNT,MT
MNTAIN,MTN
MNTN,MTN
MNTNS,MTNS
MOTORWAY,MTWY
MOUNT,MT
MOUNTAIN,MTN
MOUNTAINS,MTNS
MOUNTIN,MTN
MSSN,MSN
MTIN,MTN
N/B,NB
N/W,NW
NECK,NCK
NORTH,N
NORTHBOUND,NB
NORTHEAST,NE
NORTHWEST,NW
OFFICE,OFC
ORCHARD,ORCH
ORCHRD,ORCH
OVERPASS,OPAS
OVL,OVAL
OVPS,OPAS
PARKS,PARK
PARKWAY,PKWY
PARKWAYS,PKWY
PARKWY,PKWY
PASSAGE,PSGE
PATHS,PATH
PATHWAY,PWY
PENTHOUSE,PH
PIKES,PIKE
PINE,PNE
PINES,PNES
PKWAY,PKWY
PKWYS,PKWY
PKY,PKWY
PLACE,PL
PLAIN,PLN
PLAINS,PLNS
PLAZA,PLZ
PLZA,PLZ
POINT,PT
POINTS,PTS
PORT,PRT
PORTS,PRTS
PRAIRIE,PR
PRK,PARK
PRR,PR
RAD,RADL
RADIAL,RADL
RADIEL,RADL
RAILROAD,RR
RANCH,RNCH
